Name,Year,Type,Mass (g),Fall,Latitude,Longitude
Dwaleni,1970-01-01T00:00:00.000,H4-6,,Fell,-27.200000,31.316670
Dyalpur,1872-01-01T00:00:00.000,Ureilite,,Fell,26.250000,82.000000
Dyarrl Island,1933-01-01T00:00:00.000,Mesosiderite-A1,,Fell,-3.000000,151.000000
Eagle,1947-01-01T00:00:00.000,EL6,,Fell,40.781670,-96.471670
Ehole,1961-01-01T00:00:00.000,H5,,Fell,-17.300000,15.833330
Eichstädt,1785-01-01T00:00:00.000,H5,,Fell,48.900000,11.216670
Ekeby,1939-01-01T00:00:00.000,H4,,Fell,56.033330,13.000000
Ekh Khera,1916-01-01T00:00:00.000,H6,,Fell,28.266670,78.783330
El Idrissia,1989-01-01T00:00:00.000,L6,,Fell,34.416670,3.250000
El Paso de Aguila,1977-01-01T00:00:00.000,H5,,Fell,25.370000,-97.370000
El Tigre,1993-01-01T00:00:00.000,L6,,Fell,19.967220,-103.051670
Elbert,1998-01-01T00:00:00.000,LL6,,Fell,39.246670,-104.588170
Elbogen,1400-01-01T00:00:00.000,"Iron, IID",,Fell,50.183330,12.733330
Elenovka,1951-01-01T00:00:00.000,L5,,Fell,47.833330,37.666670
Ellemeet,1925-01-01T00:00:00.000,Diogenite,,Fell,51.750000,4.000000
Emmaville,1900-01-01T00:00:00.000,Eucrite-mmict,,Fell,-29.466670,151.616670
Enshi,1974-01-01T00:00:00.000,H5,,Fell,30.300000,109.500000
Ensisheim,1492-01-01T00:00:00.000,LL6,,Fell,47.866670,7.350000
Épinal,1822-01-01T00:00:00.000,H5,,Fell,48.183330,6.466670
Erakot,1940-01-01T00:00:00.000,CM2,,Fell,19.033330,81.891670
Erevan,1911-01-01T00:00:00.000,Howardite,,Fell,40.300000,44.500000
Ergheo,1889-01-01T00:00:00.000,L5,,Fell,1.166670,44.166670
Erxleben,1812-01-01T00:00:00.000,H6,,Fell,52.216670,11.250000
Esnandes,1837-01-01T00:00:00.000,L6,,Fell,46.250000,-1.100000
Essebi,1957-01-01T00:00:00.000,C2-ung,,Fell,2.883330,30.833330
Estherville,1879-01-01T00:00:00.000,Mesosiderite-A3/4,,Fell,43.416670,-94.833330
Farmington,1890-01-01T00:00:00.000,L5,,Fell,39.750000,-97.033330
Farmville,1934-01-01T00:00:00.000,H4,,Fell,35.550000,-77.533330
Favars,1844-01-01T00:00:00.000,H5,,Fell,44.383330,2.816670
Fayetteville,1934-01-01T00:00:00.000,H4,,Fell,36.050000,-94.166670
Feid Chair,1875-01-01T00:00:00.000,H4,,Fell,36.883330,8.450000
Felix,1900-01-01T00:00:00.000,CO3.3,,Fell,32.533330,-87.166670
Fenghsien-Ku,1924-01-01T00:00:00.000,H5,,Fell,34.600000,116.750000
Ferguson,1889-01-01T00:00:00.000,OC,,Fell,36.100000,-81.416670
Fermo,1996-01-01T00:00:00.000,H3-5,,Fell,43.181110,13.753330
Fisher,1894-01-01T00:00:00.000,L6,,Fell,47.816670,-96.850000
Florence,1922-01-01T00:00:00.000,H3,,Fell,30.833330,-97.766670
Forest City,1890-01-01T00:00:00.000,H5,,Fell,43.250000,-93.666670
Forest Vale,1942-01-01T00:00:00.000,H4,,Fell,-33.350000,146.858330
